ID|UserID|UserQuery|errorClasses|taskid|timestamp
171581|2087|"select AngNr, AName, Gehalt + Neues_Gehalt from Angestellter"|0|1059|"2022-12-12 11:00:24"
171583|2087|"select AngNr, AName, Gehalt, Gehalt*115 AS Neues_Gehalt from Angestellter"|20|1059|"2022-12-12 11:01:30"
171585|2087|"select AngNr, AName, Gehalt, Gehalt*15 AS Neues_Gehalt from Angestellter"|20|1059|"2022-12-12 11:02:17"
171586|2087|"select AngNr, AName, Gehalt, Gehalt*15% AS Neues_Gehalt from Angestellter"|0|1059|"2022-12-12 11:03:10"
171587|2087|"select AngNr, AName, Gehalt, Gehalt*15/100 AS Neues_Gehalt from Angestellter"|20|1059|"2022-12-12 11:03:20"
171588|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt from Angestellter"|20|1059|"2022-12-12 11:03:34"
171595|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt, ROUND (Neues_Gehalt,0) from Angestellter"|0|1059|"2022-12-12 11:05:54"
171597|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt from Angestellterselect ROUND (Neues_Gehalt,0)"|0|1059|"2022-12-12 11:06:21"
171598|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt from Angestellter"|20|1059|"2022-12-12 11:06:27"
171600|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS ROUND(Neues_Gehalt,0) from Angestellter"|0|1059|"2022-12-12 11:07:06"
171602|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS ROUND(Neues_Gehalt) from Angestellter"|0|1059|"2022-12-12 11:07:13"
171603|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt from Angestellter"|20|1059|"2022-12-12 11:07:25"
171606|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt from Angestellterselect ROUND(Neues_Gehalt, 0) from Angestellter"|0|1059|"2022-12-12 11:10:29"
171608|2087|"select AngNr, AName, Gehalt, Gehalt*115/100 AS Neues_Gehalt from AngestellterUpdate AngestellterSet Neues_Gehalt = ROUND (Neues_Gehalt, 0)"|0|1059|"2022-12-12 11:12:33"
